producto_id,investigador_id,orden,rol,activo
P-GR-000262D1840A,I-0000092860,,Autor listado en GrupLAC,1
P-GR-0002B9681BD0,I-0000597287,,Autor listado en GrupLAC,1
P-GR-0004D907DBC0,I-0000106055,,Autor listado en GrupLAC,1
P-GR-000A375AAF3C,I-0002113950,,Autor listado en GrupLAC,1
P-GR-001439D1635C,I-0000141572,,Autor listado en GrupLAC,1
P-GR-0023BD1C3174,I-0001546045,,Autor listado en GrupLAC,1
P-GR-0039B855F065,I-0000484768,,Autor listado en GrupLAC,1
P-GR-004A76FB7E10,I-0001697200,,Autor listado en GrupLAC,1
P-GR-004BF288B142,I-0000577952,,Autor listado en GrupLAC,1
P-GR-004BF288B142,I-0000993573,,Autor listado en GrupLAC,1
P-GR-004CA83D28A8,I-0001236059,,Autor listado en GrupLAC,1
P-GR-004CA83D28A8,I-0001645108,,Autor listado en GrupLAC,1
P-GR-005607962918,I-0000009747,,Autor listado en GrupLAC,1
P-GR-005607962918,I-0000336777,,Autor listado en GrupLAC,1
P-GR-005878A35E60,I-0000666106,,Autor listado en GrupLAC,1
P-GR-005878A35E60,I-0000749028,,Autor listado en GrupLAC,1
P-GR-005C23654F8E,I-0000424382,,Autor listado en GrupLAC,1
P-GR-005FB8EE9A53,I-0001364074,,Autor listado en GrupLAC,1
P-GR-00679BCD67FF,I-0000576956,,Autor listado en GrupLAC,1
P-GR-007A3887D6E6,I-0000731374,,Autor listado en GrupLAC,1
P-GR-0087FA4C7C31,I-0000599514,,Autor listado en GrupLAC,1
P-GR-0087FA4C7C31,I-0001252879,,Autor listado en GrupLAC,1
P-GR-0099DB54B723,I-0000237850,,Autor listado en GrupLAC,1
P-GR-009B9833BCDF,I-0000446726,,Autor listado en GrupLAC,1
P-GR-009B9833BCDF,I-0001399005,,Autor listado en GrupLAC,1
P-GR-00B310716BE0,I-0000689211,,Autor listado en GrupLAC,1
P-GR-00BA8E037309,I-0000559822,,Autor listado en GrupLAC,1
P-GR-00C83DFD8594,I-0000020186,,Autor listado en GrupLAC,1
P-GR-00C83DFD8594,I-0000880159,,Autor listado en GrupLAC,1
P-GR-00C83DFD8594,I-0001409130,,Autor listado en GrupLAC,1
P-GR-00CABCBAF717,I-0002313903,,Autor listado en GrupLAC,1
P-GR-00CD0A5A90A5,I-0000064046,,Autor listado en GrupLAC,1
P-GR-00CD0A5A90A5,I-0000112231,,Autor listado en GrupLAC,1
