id,nombre,codigo_gruplac,fecha_creacion,unidad,responsable,categoria,descripcion,objetivos,mision,vision,lineas,url,fuente,activo
G-00000000020734,Sierra Nevada de Santa Marta,00000000020734,,,Antonio Yesid Pedroza Estrada,B,"El Grupo de investigación SIERRA NEVADA DE SANTA MARTA, su labor se encuentra dirigida al quehacer científico y académico desde una perspectiva pluri e interdisciplinaria. Su origen responde a la propuesta de los docentes investigadores que visualizaban la creación del grupo como una necesidad para visibilizar y lograr un mayor impacto en el escenario curricular y extracurricular realizando trabajo en equipo y cooperando entre los mismos para generar aportes desde el desarrollo de investigaciones en el ámbito JURÍDICO, SOCIO JURÍDICO y en la ADMINISTRACIÓN PÚBLICA estudiando los fenómenos y brindando alternativas de solución de las necesidades sociales, económicas, políticas y culturales, para moldearlas como instrumentos que permitan asumir las realidades nacionales y afrontar el panorama internacional.","Objetivo General
Realizar investigaciones interdisciplinarias en derecho, ciencias sociales y administración pública que contribuyan al entendimiento y solución de problemáticas sociales, políticas, económicas y culturales en Colombia, con impacto regional e internacional.
Objetivos Específicos
Fortalecer y consolidar las líneas de investigación prioritarias del grupo, orientadas a problemáticas actuales y relevantes para la sociedad.
Desarrollar procesos de investigación formativa mediante la participación activa de semilleros y jóvenes investigadores, fomentando su formación integral y científica.
Formular, ejecutar y gestionar proyectos de investigación con financiación nacional e internacional, priorizando aquellos que generen impacto social y académico.
Difundir resultados académicos en revistas indexadas, libros, congresos y medios de divulgación científica, optimizando la visibilidad y el aporte del grupo a la comunidad académica y sociedad en general.",,"Ser un grupo de investigación reconocido nacional e internacionalmente por su excelencia en la producción académica, la innovación científica y tecnológica, y su compromiso con la proyección social y extensión universitaria. Consolidarse como un referente en la generación de conocimiento interdisciplinario que responda de manera pertinente y novedosa a las problemáticas regionales, nacionales e internacionales, contribuyendo al desarrollo sostenible, la inclusión social y la transformación educativa. A través de la articulación efectiva entre investigadores, comunidades y actores institucionales, impulsar procesos de investigación y transferencia que fortalezcan la calidad de vida y promuevan la justicia social en contextos dinámicos y complejos.","1.- Capacidad Institucional del Estado
2.- DERECHO LABORAL Y SEGURIDAD SOCIAL EN EL CONTEXTO DE LA GLOBALIZACIÓN E INTERNACIONALIZACIÓN DE LA ECONOMÍA
3.- DERECHO PENAL, CRIMINOLOGÍA, POLÍTICA CRIMINAL Y SEGURIDAD PÚBLICA
4.- DERECHO PÚBLICO Y ESTADO SOCIAL DE DERECHO
5.- GLOBALIZACIÓN Y NUEVO DERECHO
6.- Litigio estratégico en la pospandemia de inicios del siglo XXI
7.- Nuevas tendencias en la administración pública en el escenario de la pospandemia
8.- POLÍTICAS PÚBLICAS EN EDUCACIÓN
9.- Perspectivas de los Derechos Humanos en el siglo XXI",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000020734,"Scienti, consultado 2026-09-25; formación: 2018 - 1",1
G-00000000001901,Grupo de investigacion ZooBios.,00000000001901,,,Fanny Matilde PINZON CANDELARIO,B,"El grupo de investigación Zoobios se enmarca dentro de las dinámicas actuales de la investigación agropecuaria y ambiental, abordando temas de nutrición animal, biodiversidad, biotecnología, epidemiología y desarrollo rural. A nivel global, las investigaciones en estas áreas se orientan hacia la sostenibilidad de los sistemas productivos, el bienestar animal y la conservación de los recursos genéticos, alineándose con los Objetivos de Desarrollo Sostenible (ODS).
En Colombia, las políticas de ciencia y tecnología promueven la articulación entre universidades, sectores productivos y comunidades, incentivando la producción científica y la transferencia de conocimiento. Zoobios ha fortalecido su impacto mediante publicaciones científicas, vinculación de estudiantes a semilleros y participación en macroproyectos territoriales. La creciente necesidad de soluciones innovadoras en el sector agropecuario y ambiental ha impulsado al grupo a consolidar alianzas estratégicas y fomentar la movilidad académica.
En el marco de los objetivos del grupo Zoobios se busca incrementar su productividad científica, avanzar en su categorización en MinCiencias y fortalecer su posicionamiento en redes de investigación. Su enfoque interdisciplinario y su compromiso con la innovación le permiten contribuir al desarrollo sostenible de la región Caribe y al avance del conocimiento en el ámbito agropecuario y ambiental. Además la participación de docentes investigadores de dos Universidades permite proyectarnos y fortalecer los procesos investigativos.","Contribuir en la formación investigativa de los estudiantes, egresados, docentes y sector productivo con el fin de propiciar un desarrollo permanente de la investigación de los programas de la Escuela de Ciencias agrícolas pecuarias y del medio ambiente de la Universidad nacional Abierta y a Distancia y del Programa de Microbiología de la Universidad Popular del cesar en la Región Caribe.
Formar personas integras en un ambiente abierto y voluntario, con el fin de contribuir al desarrollo social, tecnológico, económico y ambiental de la región Caribe y del país.
Fomentar un pensamiento critico para estimular el diseño de proyectos de investigación acordes con la realidad de nuestro entorno.
Aportar soluciones con una visión integral a los problemas de la región caribe y del país
Contribuir al desarrollo de las líneas de investigación propuestas por el grupo.
Incubar proyectos de investigación con viabilidad de desarrollo.",,"El grupo de investigación ZOOBIOS de la Escuela de Ciencias Agrícolas, Pecuarias y del Medio Ambiente del Programa de Zootecnia de la Universidad Nacional Abierta y a Distancia UNAD-CEAD Valledupar- Zona Caribe y del Universidad Popular del Cesar, es y será un grupo reconocido por excelencia en el ámbito Nacional e Internacional para fomentar la cultura investigativa en la comunidad académica para el año 2015, toda vez que será participe en la formación y autoformación mediante la investigación y el compromiso ineludible de su propósito de fomentar y desarrollar un conocimiento científico por medio de proyectos investigativo en el ámbito social y tecnológico de esta parte del Territorio nacional.","1.- Nutricion Animal
2.- Biodiversidad y Recursos geneticos.
3.- Biotecnología y Medio Ambiente
4.- Desarrollo Rural
5.- Epidemiología y Enfermedades Infecciosas
6.- Reproduccion Y Mejoramiento Animal",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000001901,"Scienti, consultado 2026-09-25; formación: 2005 - 3",1
G-00000000016636,"GESTIÓN EN INVESTIGACIÓN, PRODUCCIÓN Y TRANSFORMACIÓN AGROINDUSTRIAL (GIPTA)",00000000016636,,,Jacqueline Chavez Galvis,C,"son muchas las investigaciones enmarcadas en esta área del conocimiento a nivel nacional e internacional ya que se tiende a mejorar los procesos existentes y a encontrar nuevos productos que mejoren la calidad de vida de los habitantes de cada región
La universidad de San Buenaventura, La Universidad de Chapingo de México, La Universidad Autónoma de Chile, La Pontificia Bolivariana, La universidad de Armenia, La universidad de Pasto, la universidad del Valle trabajan en pro del desarrollo agroindustrial de sus regiones para fortalecer las cadenas productivas y líneas metodológicas de la ciencias básicas.
La Universidad Popular del Cesar Seccional Aguachica no desea quedarse atrás y quiere contribuir al desarrollo agroindustrial de la región mediante la integración de los diferentes estamentos regionales en la conformación del grupo de investigación GESTIÓN EN INVESTIGACIÓN, PRODUCCIÓN Y TRANSFORMACIÓN AGROINDUSTRIAL (GIPTA).
El programa de ingeniería Agroindustrial conformó
en el año 2013, el GESTIÓN EN INVESTIGACIÓN, PRODUCCIÓN Y TRANSFORMACIÓN AGROINDUSTRIAL (GIPTA). como una estrategia
encaminada a satisfacer las necesidades actuales del conocimiento en los
ámbitos local, nacional e internacional. El proceso de construcción, desarrollo y consolidación del grupo de investigación ha hecho posible la generación de
nuevo producción investigativa sacando ventaja de su conformación
típicamente interdisciplinar.","OBJETIVOS
GENERALES
Conformar un grupo de acción interdisciplinaria que contribuya al intercambio, consolidación y aplicación del conocimiento, enfocado a la producción y transformación de productos agropecuarios
Fomentar la investigación en el programa de ingeniería agroindustrial para obtener resultados que contribuyan a la generación del conocimiento científico
Complementar la parte teórica con la práctica fomentando el uso de tecnologías actuales en la planeación, diseño y construcción de equipos Agroindustriales.
Identificar y crear líneas de investigación enmarcadas dentro del departamento de ingenierías y tecnológicas que estén acordes con las necesidades de la región.
Desarrollar y fortalecer la academia científica, técnica y tecnológica de la facultad de ingenierías y tecnológicas de la Seccional Aguachica.
ESPECIFICOS
Mejorar el nivel académico del programa de ingeniería agroindustrial con la inclusión de los docentes y estudiantes en el proceso investigativo.
Aprovechar al máximo los productos agropecuarios de la región para adicionarle valor agregado
Explorar mediante diferentes técnicas analíticas el potencial productivo de los productos agropecuarios
Identificar problemáticas regionales relacionadas con la producción agropecuaria
Formular proyectos de investigación aplicada que brinden soluciones a las necesidades regionales existentes en torno a la producción y transformación de productos agropecuarios.
Construir espacios de investigación para estudiantes de últimos semestres que puedan desarrollar su proyecto de grado en las diferentes líneas de investigación.",,"El grupo de investigación GESTION EN INVESTIGACION EN PRODUCCION Y TRANSFORMACION AGROINDUSTRIAL se consolidará como un grupo de índole científica y tecnológica a nivel regional, nacional e internacional que brindará alternativas de desarrollo para el sector agropecuario de la región, atendiendo necesidades del sector bajo la filosofía de desarrollo ético y sostenible en el marco de la transformación y desarrollo de nuevos productos, sistemas de gestión aplicadas a las empresas agroindustriales que mejoren los procesos productivos, conservación ambiental entre otros.","1.- Beneficio y Tecnología de productos y subproductos con aplicación de procesos agroindustriales (alimentarios y no alimentarios)
2.- Biotecnología, biocombustibles y Tecnologias limpias
3.- Sistemas Integrados de Gestión",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000016636,"Scienti, consultado 2026-09-25; formación: 2013 - 2",1
G-00000000024291,Investiguemos en Instrumentación Quirúrgica (INVIQ),00000000024291,,,maria carolina araujo arzuaga,Reconocido,"ESTADO DEL ARTE: el presente grupo (INVIQ) Investiguemos en Instrumentación Quirúrgica surge de la iniciativa de estos integrantes con el propósito de fortalecer la investigación en estudiantes y docentes y de esta manera la cualificación de los mismo, con miras a una acreditación institucional.","* Generar conocimiento científico de alta calidad que contribuya a la mejora de la salud pública, mediante la investigación interdisciplinaria, el desarrollo de nuevas estrategias de prevención, diagnóstico y tratamiento de enfermedades, y la promoción de políticas de salud basadas en la evidencia.
* Evaluar prácticas educativas innovadoras y basadas en la evidencia, con el fin de mejorar la calidad del aprendizaje y la enseñanza. A través de la investigación interdisciplinaria, buscamos influir en las políticas educativas y contribuir al desarrollo de un sistema educativo más equitativo y efectivo.
* Analizar los sistemas de administración en salud mediante investigaciones que identifiquen estrategias innovadoras y eficientes, para optimizar la gestión de recursos, mejorar la calidad de los servicios de salud y contribuir a la formulación de políticas que fortalezcan la sostenibilidad y equidad del sistema sanitario.",,"La proyección del grupo INVIQ como organización a largo plazo busca formar profesionales integrales que participaran mediante sus conocimientos, experiencias y productos en la evaluación, análisis y transformación de las problemáticas en salud, educación, administración y comunidad a nivel local, regional y nacional proponiendo soluciones para la mejora de la calidad de vida de la población.","1.- ADMINISTRACIÓN DE LAS ORGANIZACIONES DE SALUD
2.- ASEGURAMIENTO DE LA CALIDAD DE SERVICIOS QUIRÚRGICOS Y CENTRALES DE ESTERILIZACIÓN
3.- ORIENTACIÓN EN LA EDUCACIÓN, CULTURA Y SOCIEDAD
4.- SALUD PUBLICA",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000024291,"Scienti, consultado 2026-09-25; formación: 2023 - 1",1
G-00000000024297,Ars Scribendi: investigación en estudios literarios y pedagógicos,00000000024297,,,Nellys montenegro de la hoz,Reconocido,,"Analizar el estado del arte para la identificación de estrategias de enseñanza aprendizaje en el área de la literatura hispanohablante y de lengua inglesa.
Desarrollar conocimientos y estrategias innovadoras para la mejora la enseñanza y el aprendizaje de la literatura hispanohablante y de lengua inglesa.
Evaluar el aporte de las estrategias innovadoras en la enseñanza y el aprendizaje de la literatura hispanohablante y de lengua inglesa.",,Posicionarnos como un referente nacional en investigación en el campo de los estudios literarios y pedagógicos destacando por la participación activa de estudiantes y docentes del programa de Licenciatura en Literatura y Lengua Castellana de la Universidad Popular del Cesar.,"1.- Enseñanza y aprendizaje de lenguas extranjeras
2.- Lingüística, comunicación y lenguas
3.- Literatura de Gran caribe
4.- Literatura de la diáspora afroamericana
5.- Pedagogía de la literatura
6.- Teoría Literaria",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000024297,"Scienti, consultado 2026-09-25; formación: 2022 - 1",1
G-00000000024259,Grupo de Investigación en Producción Sostenible de las Ciencias Agropecuarias,00000000024259,,,Ingris Yohana Hernández Martínez,C,"El concepto de ¿sostenibilidad¿ fue definido en el Informe Brundtland en 1987, donde se establece que el desarrollo debe satisfacer las necesidades del presente sin comprometer la capacidad de las futuras generaciones para satisfacer las suyas. Este enfoque integra dimensiones económicas, sociales y ambientales, y reconoce la necesidad de equilibrar la explotación de recursos con la conservación del entorno. Investigaciones recientes han ampliado esta teoría al considerar la sostenibilidad no solo como un objetivo, sino como un proceso dinámico que requiere ajustes continuos y la participación de múltiples actores para abordar desafíos globales como el cambio climático, la pérdida de biodiversidad y la equidad social.
En este contexto, la integración de enfoques en la práctica agropecuaria ofrece una base sólida para el desarrollo de prácticas que sean tanto productivas como sostenibles. Al aplicar estos conceptos, se busca una transición hacia sistemas de producción que no solo aumenten la eficiencia y la productividad, sino que también respeten y preserven los recursos naturales y el equilibrio ecológico. Investigaciones recientes han demostrado que la combinación de estos enfoques puede ofrecer soluciones innovadoras para enfrentar los desafíos actuales del sector agropecuario, mejorando la resiliencia de los sistemas agrícolas y contribuyendo al desarrollo sostenible. La implementación efectiva de estas estrategias requiere la colaboración entre científicos, agricultores, políticos y comunidades para lograr un equilibrio duradero entre la producción y la conservación.
En relación con los Objetivos de Desarrollo Sostenible (ODS) , establecidos por la Asamblea General de las Naciones Unidas en 2015, estos representan un marco integral para abordar los desafíos globales de manera coordinada y eficaz. Los 17 objetivos abarcan áreas críticas como la erradicación de la pobreza, la seguridad alimentaria, el acceso al agua limpia, la igualdad de género y la acción","Objetivo General
Desarrollar e implementar soluciones científicas y tecnológicas innovadoras que impulsen prácticas sostenibles en la producción agropecuaria, mejorando la eficiencia, conservando los recursos naturales y contribuyendo al bienestar socioeconómico de las comunidades rurales, alineado con los principios de sostenibilidad y los Objetivos de Desarrollo Sostenible (ODS).
Objetivos Específicos.
Fortalecer las competencias científicas, tecnológicas e innovadoras en la comunidad académica promoviendo el desarrollo de capacidades avanzadas en el campo agropecuario sostenible.
Fomentar una cultura de investigación y desarrollo alineada con las políticas nacionales e internacionales, facilitando alianzas estratégicas con entidades gubernamentales e industriales.
Implementar proyectos de investigación aplicada que optimicen el uso del agua y el suelo en la producción agropecuaria, mejorando la eficiencia y la productividad de los sistemas agrícolas y ganaderos.
Promover la colaboración interdisciplinaria entre investigadores, productores y comunidades, para generar soluciones integrales que aborden los desafíos del sector agropecuario en un contexto de sostenibilidad",,"Para el año 2030, GIPSCA se propone convertirse en un referente y modelo en procesos investigativos con un alto enfoque en la producción agrícola y pecuaria. El grupo busca liderar el desarrollo sostenible del sector agropecuario, trabajando en la recuperación de áreas impactadas por actividades antrópicas. Además, GIPSCA pretende fomentar proyectos de seguridad alimentaria, contribuyendo al bienestar de las comunidades y al equilibrio ambiental.","1.- Biodiversidad y biotecnología
2.- Gestión Social Agropecuaria
3.- Manejo agro-sostenible de cultivos
4.- NUTRICIÓN ANIMAL, REPRODUCCIÓN Y MANEJO PECUARIO
5.- Tecnologías limpias y producción agropecuaria sostenible y de precisión",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000024259,"Scienti, consultado 2026-09-25; formación: 2021 - 11",1
G-00000000018873,SALUD Y BIENESTAR PARA EL SER HUMANO EN SU ENTORNO (SBSHE),00000000018873,,,Luz MEJIA REALES,B,"La actividad investigativa en la actualidad es un factor constitutivo de la vida académica y fundamental de la misión universitaria, que busca la formación integral de sus educandos, para la generación de nuevos conocimientos y la articulación de la realidad con el contexto en el cual interactúa.
En el país en las últimas dos décadas se ha fortalecido el Sistema de Ciencia, Tecnología e Innovación regido por Minciencias, quien permanentemente abre convocatorias para el establecimiento de líneas, grupos y proyectos de ciencia tecnológica e innovacion; igualmente crece vertiginosamente la comunidad académica adscrita al mismo a través del GrupLAC y el CvLAC, los productos de grupos adquieren reconocimiento solo si se difunden o visibilizan; las asociaciones científicas apoyan a los grupos de docentes que se encuentren vinculados o en proceso de vinculación a Minciencias y el Sistema Educativo legisla con base en estas tendencias de desarrollo.
Es por ello que la Universidad Popular del Cesar y en especial el programa de Enfermería se encuentra comprometida en mantener la alta calidad que fue otorgada, mediante el acompañamiento, asesoría y fomento a los investigadores y grupos de investigación para que desarrollen proyectos de investigación que generen productos científicos, tecnológicos y de innovación que enriquezcan su propio sistema de investigación e impacten a la comunidad educativa a nivel local, regional, nacional e internacional.
Por lo anterior El grupo de investigación (SBSHE) dentro de sus metas y objetivos fomenta estilos de vida saludables tendientes a mejorar su calidad de vida tomando como referencia estudios de investigación que permitan establecer estrategias de solución a las necesidades sentidas de la comunidad, que repercutan en la creación de productos de ciencia y tecnología en salud y educación.","OBJETIVO GENERAL:
Fomentarla investigación aplicada a la educación y la salud como herramienta para contribuir en la calidad de vida del colectivo social y su entorno.
OBJETIVOS ESPECÍFICOS
- Fortalecer a la Universidad Popular del Cesar en el área de investigación relacionada con la salud pública y los procesos de enseñanza aprendizaje.
- Crear innovación y tecnología para el mejoramiento de los procesos en el área de salud y educación.
- Identificar factores de riesgos y factores protectores que contribuyan al mejoramiento de la calidad de vida de las personas, familia y su entorno.",,"Nos vemos en un futuro como un grupo de investigación capaz de poner al servicio de la comunidad innovación, ciencia y tecnología que permitan favorecer su calidad de vida, disminuir los factores de riesgos y fomentar los factores protectores con la firme convicción que dejaremos en alto el nombre del Alma Mater que representamos, así lograr un crecimiento intelectual, espíritu investigativo y sobre todo seremos el grupo que vaya a la vanguardia en el control y cuidado en la calidad de vida.","1.- CUIDADOS DE ENFERMERÍA BRINDADOS A GRUPOS ETARIOS ADULTOS SANOS Y CON ENFERMEDADES CRÍTICAS, CRÓNICAS Y/O DEGENERATIVAS
2.- CUIDADOS DE ENFERMERÍA DURANTE EL PERIOPERATORIO
3.- EDUCACIÓN,SALUD, PROCESOS PEDAGÓGICOS Y CURRICULARES.
4.- ENFERMERIA EN SALUD MENTAL Y EL CRECIMIENTO HUMANO",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000018873,"Scienti, consultado 2026-09-25; formación: 2014 - 11",1
G-00000000017356,Grupo de Investigación Educativa en Ciencias Naturales y Matemática ECINAMA,00000000017356,,,Juan Bautista Pacheco Fernández,C,,"Realizar investigaciones en el campo de la educación y epistemología de la física y de las Ciencias Naturales que aporten elementos teóricos, metodológicos y didácticos desde un enfoque sistémico y contextualizado.
Realizar investigaciones en el área de la educación matemática que aporten elementos teóricos, metodológicos y didácticos desde un enfoque sistémico y contextualizado.",,"El grupo de investigación educativa en Ciencias Naturales y Matemática ECINAMA aspira a ser reconocido a nivel regional, nacional e internacional por sus aportes científicos y tecnológicos en el campo educativo en Ciencias Naturales, en Ciencias Físicas y en Matemáticas, desde una perspectiva sistémica contextualizada.","1.- Educación Matemática
2.- Enseñanza de las ciencias Naturales
3.- Historia y Enseñanza de la Física",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000017356,"Scienti, consultado 2026-09-25; formación: 2014 - 7",1
G-00000000023954,MUEVETE_UPECISTA,00000000023954,,,Beatriz Elena Mestre Moron,C,"Para el año 2019 el programa de licenciatura en educación física recreación y deporte inicia su proceso de alistamiento para crear las condiciones en miras a su proceso de autoevaluación. Como resultado de este ejercicio surge la necesidad de crear de un grupo de investigación que aporte al crecimiento del programa y a la investigación formativa de los estudiantes, ya que se considera importante la conformación de semilleros de investigación donde estos tengan una participación activa. En este orden de ideas, los integrantes del comité de investigación del programa inician un proceso para conocer las políticas institucionales en esta materia, recibir asesorías por parte de expertos que laboran en la institución y dar creación al grupo. A la fecha, el grupo de investigación es una realidad, donde se integran diferentes saberes para aportarle al desarrollo de la región en temas pertinentes a la educación física, la recreación y el deporte.","General:
- Conformar un colectivo de investigadores interdisciplinarios que propendan por dar solución a las diferentes problemáticas del contexto local, regional, nacional, e internacional inherentes a la práctica de la educación física, la recreación y el deporte.
Específicos.
- Diseñar propuestas de investigación acordes a las necesidades de la región.
- Participar en eventos científicos que favorezcan la circulación del nuevo conocimiento y la socialización de los resultados de investigación.
- Fortalecer los procesos investigativos del programa integrando la investigación formativa, con la docencia, proyección social y extensión.
- Promover alianzas estratégicas en redes y con otros grupos de investigación para contribuir al fortalecimiento de la investigación y construcción de nuevo conocimiento.
- Participar en convocatorias internas para la financiación de proyectos de investigación y extensión.",,Para el año 2025 será un grupo de investigación reconocido y clasificado por el sistema nacional de ciencia y tecnología producto de su compromiso y participación en la construcción de proyectos con impacto social que brinden soluciones a las diferentes problemáticas que se encuentran presentes en la región.,"1.- Educación Rural y Desarollo Humano
2.- Movimiento Humano y Salud
3.- Pedagogía y Didáctica de la Educación Física
4.- Recreación y Ocio
5.- Ética y Políticas Públicas Educativas y Deportivas",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000023954,"Scienti, consultado 2026-09-25; formación: 2022 - 1",1
G-00000000018949,GESTIÓN AMBIENTAL Y TERRITORIOS SOSTENIBLES (GE&TES),00000000018949,,,Jorge Luis Rangel Acosta,C,"Los conceptos de ¿Desarrollo Sostenible¿ provenientes tanto de la ecología como de la economía no son nuevos. Aparecen en una coyuntura global de contradicciones existentes entre las enormes riquezas ecológicas que posee una región y al alto impacto ambiental por la explotación de recursos naturales en pro del desarrollo social y económico, siguiendo la visión antropocéntrica que situaba a la Naturaleza como algo ajeno a ese problema, solo nombrada cuando se hacía referencia a materias primas o factores de producción. En este sentido, el proceso de globalización actual determina en gran medida las dinámicas que se asocian a tres factores: lo social, lo ambiental y lo económico.
Es así como plantea la Unesco el concepto de Desarrollo Sostenible, subrayando cuatro dimensiones interconectadas entre si: la sociedad, el medio ambiente, la cultura y la economía; que guardan pertinencia con la definición de la Comisión Mundial sobre el Medio Ambiente y el Desarrollo: ¿el desarrollo sostenible como la satisfacción de las necesidades de la generación presente sin comprometer la capacidad de las generaciones futuras para satisfacer sus propias necesidades. De modo que se hace necesario abrir el análisis a múltiples dimensiones y reforzar la idea de que el desarrollo sostenible se logra cuando existe un equilibrio entre el desarrollo económico, el desarrollo social y la protección ambiental.
A continuación se hará mención a diversos grupos de investigación, de nivel internacional y nacional, que se caracterizan por manejar un enfoque interdisciplinar con énfasis en la línea del desarrollo sostenible.
Ámbito internacional
Grupo de Investigación Desarrollo Sostenible y Planificación Territorial (DESOSTE).
Grupo Interdisciplinario de Investigación para el Desarrollo Sostenible (GRIDES).
Grupo de Investigación Sustentabilidad Agropecuaria.
Ámbito Nacional
Centro de Investigaciones en Medio Ambiente y Desarrollo - CIMAD.
Grupo de investigación en sostenibilida","General:
Construir conocimiento científico que conlleve a la transformación de los modelos socioeconómicos y estilos de vida sustentables en la región del Magdalena medio.
Objetivos específicos:
a. Fortalecer competencias científicas, tecnológicas e innovadoras en la comunidad académica upecista
b. Propender por una cultura de investigación y desarrollo dentro de las políticas nacionales con visión global que permita la alianza con entidades gubernamentales e industriales.
c. Identificar problemáticas y necesidades a nivel regional, afines con las líneas de investigación propuestas por el grupo.
d. Gestionar alianzas estratégicas en proyectos de desarrollo sostenible
e. Publicar resultados de los proyectos de investigación y extensión periódicamente en revistas indexadas.",,"En el año 2021, GE&TES será un grupo de investigación reconocido y categorizado en el Sistema Nacional de Ciencia, Tecnología e Innovación, con productos y resultados transformadores del contexto socioeconómico, productivo y ambiental en la región del Magdalena Medio.","1.- DESARROLLO ECONOMICO SOSTENIBLE
2.- GESTION AMBIENTAL Y DESARROLLO HUMANO
3.- PRODUCCIÓN AGROPECUARIA SOSTENIBLE (Tecnología Agropecuaria)
4.- SANEAMIENTO BÁSICO",https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000018949,"Scienti, consultado 2026-09-25; formación: 2017 - 2",1
