grupo_id,producto_id,origen,activo
G-00000000000900,P-GR-004A76FB7E10,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-005607962918,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-007A3887D6E6,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-00FA63C15D26,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-010BCBCBF641,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-0181D96BDD14,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-01FE644CA78A,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-027281E8690D,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-038623C152F5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-047E3425A4C1,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-04C823DD76E5,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-04EF9C477337,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-05799E2BA7AF,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-05DC58A161C9,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-06694842E6BD,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-077F947BFA23,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-086D16CC89E6,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-08C1A9961B3F,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-08E672BEBB9A,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-0AF57D074A8E,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-0C64252E947B,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-0D142841E474,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-0DCC3C509438,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-0E071DB03892,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-0F27C1E89ADC,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-0F7220CD6A6C,GrupLAC: producto listado en la ficha,1
G-00000000000900,P-GR-1084B25A4CD3,GrupLAC: producto listado en la ficha,1
