id,nombre,codigo_cvlac,afiliacion,categoria,contacto,url,fuente,activo
I-0000713899,Antonio Yesid Pedroza Estrada,0000713899,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000713899,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2017/1 - Actual",1
I-0001510894,martha maria charris balcazar,0001510894,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001510894,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2017/6 - Actual",1
I-0002159536,Adriana Carolina Rojas Ortiz,0002159536,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159536,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/2 - 2022/12",1
I-0000171252,alejandro enzor criales sierra,0000171252,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000171252,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2018/3 - 2021/3",1
I-0001750937,ana elvira mercado cuadrado,0001750937,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001750937,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/5 - Actual",1
I-0001401450,ana sthephania forero sanchez,0001401450,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001401450,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/5 - 2023/12",1
I-0002052195,Angelo Yecid Pedroza Miranda,0002052195,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002052195,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/4 - Actual",1
I-0001668782,Antony Yesid Pedroza Miranda,0001668782,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001668782,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2025/1 - Actual",1
I-0002159629,Anyi Lorena Mora Gutierrez,0002159629,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159629,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2023/2",1
I-0002230959,Arturo Mario Arrieta Balcazar,0002230959,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002230959,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/12 - Actual",1
I-0002151034,BREINYS MARIA PEDROZA OTALORA,0002151034,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002151034,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2025/5 - Actual",1
I-0001526255,Carlos Andrés Botero Pérez,0001526255,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001526255,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2019/2 - 2020/11",1
I-0002095334,CARLOS GUILLERMO RAMIREZ ARAUJO,0002095334,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002095334,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/4 - 2023/12",1
I-0000593982,Carlos LIÑAN ZUÑIGA,0000593982,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000593982,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2019/5 - Actual",1
I-0001412422,EDGARDO JOSE MAESTRE SANCHEZ,0001412422,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001412422,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/8 - Actual",1
I-0002100647,EDUART DAVID SUAREZ BARRAZA,0002100647,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002100647,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/2 - 2023/12",1
I-0000986020,ELIECER SUAREZ SERRANO,0000986020,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000986020,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2025/3 - Actual",1
I-0001823730,ELISA MERCEDES VANEGAS ZUÑIGA,0001823730,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001823730,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/4 - 2023/12",1
I-0001414874,EMA YUSELSY MOLINA ROYS,0001414874,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001414874,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2021/1 - 2021/12",1
I-0001740927,erida lorena bejarano valdez,0001740927,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001740927,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/12 - Actual",1
I-0001425831,GUILLERMO ANDRES ECHAVARRIA GIL,0001425831,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001425831,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/11 - 2023/6",1
I-0001482630,JAVIER ENRIQUE DE LA HOZ MERCADO,0001482630,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001482630,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2022/12",1
I-0001554092,jesus angel Orozco Molina,0001554092,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001554092,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2026/3 - Actual",1
I-0000871516,Jhon Jairo Díaz Carpio,0000871516,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000871516,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - Actual",1
I-0001177362,Jose BOTERO COTES,0001177362,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001177362,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2019/5 - 2019/12",1
I-0001601441,JOSE DEL CARMEN VILLALOBOS TOVAR,0001601441,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001601441,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2022/12",1
I-0000041749,José Javier Nuvaez Castillo,0000041749,,Investigador Asociado (I),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000041749,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - Actual",1
I-0002390981,JOSE JUAN CAMILO GUERRA MENDOZA,0002390981,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002390981,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2025/3 - Actual",1
I-0002159625,Juan Sebastián Cardenas Orta,0002159625,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159625,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2022/12",1
I-0002063293,Lina Maria Ramirez Serrano,0002063293,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002063293,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2024/4 - Actual",1
I-0000008984,liz karina barragán peñate,0000008984,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000008984,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/4 - 2023/6",1
I-0000241687,Luis Arturo Escobar Caro,0000241687,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000241687,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2020/2 - Actual",1
I-0001686469,luis enrique Beleño Chamorro,0001686469,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001686469,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2018/9 - 2020/12",1
I-0002062413,Luisa Fernanda Iseda Polo,0002062413,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002062413,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/1 - 2023/12",1
I-0001570355,Madelein Arellano Rodríguez,0001570355,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001570355,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2018/2 - 2023/2",1
I-0001503437,MARIA ANGELICA SANCHEZ JULIO,0001503437,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001503437,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/5 - 2023/12",1
I-0002159641,Maria Camila Arias Teran,0002159641,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159641,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2023/12",1
I-0002159529,Maria Fernanda Arias Maestre,0002159529,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159529,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2023/12",1
I-0000185819,maria loraine villalba martinez,0000185819,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000185819,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/2 - 2024/12",1
I-0000082185,MARIA TERESA RINCON BECERRA,0000082185,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000082185,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2019/3 - 2023/2",1
I-0002159522,Michel Carolais Ricardo Ortiz,0002159522,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159522,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - 2022/6",1
I-0002159539,Nasly Sohara Lopez Jaimes,0002159539,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002159539,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/1 - 2023/12",1
I-0000122096,Orlando Scoppetta Diaz Granados,0000122096,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000122096,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2022/1 - Actual",1
I-0001349276,Oscar Edmundo Narváez Martínez,0001349276,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001349276,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2021/3 - 2021/12",1
I-0000599514,Romelio Jose Gonzalez Daza,0000599514,,Investigador Junior (IJ),,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000599514,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2025/5 - Actual",1
I-0001631067,SERGIO ZAPATA ROMERO,0001631067,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001631067,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2020/8 - Actual",1
I-0002227342,Shirly Valentina Oñate Arzuaga,0002227342,,,,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0002227342,"GrupLAC, censo de integrantes, consultado 2026-09-25; vinculación: 2023/1 - Actual",1
