grupo_id,investigador_id,rol,inicio,fin,activo
G-00000000002099,I-0000018777,Integrante · 2024/1 - Actual,,,1
G-00000000002099,I-0000019717,Integrante · 2013/1 - Actual,,,1
G-00000000002099,I-0000025167,Integrante · 2015/1 - Actual,,,1
G-00000000002099,I-0000036253,Integrante · 2013/1 - Actual,,,1
G-00000000002099,I-0000058234,Integrante · 2023/1 - Actual,,,1
G-00000000002099,I-0000122991,Integrante · 2023/1 - Actual,,,1
G-00000000002099,I-0000128905,Integrante · 2022/6 - Actual,,,1
G-00000000002099,I-0000162546,Integrante · 2001/2 - 2012/6,,,0
G-00000000002099,I-0000167691,Integrante · 2019/7 - Actual,,,1
G-00000000002099,I-0000168425,Integrante · 2018/8 - Actual,,,1
G-00000000002099,I-0000186711,Integrante · 2016/1 - Actual,,,1
G-00000000002099,I-0000235156,Integrante · 2001/2 - 2010/1,,,0
G-00000000002099,I-0000235164,Integrante · 2002/3 - 2013/12,,,0
G-00000000002099,I-0000273236,Integrante · 2001/2 - 2012/6,,,0
G-00000000002099,I-0000310581,Integrante · 2001/2 - 2015/2,,,0
G-00000000002099,I-0000420174,Integrante · 2014/1 - Actual,,,1
G-00000000002099,I-0000439720,Integrante · 2006/7 - 2010/1,,,0
G-00000000002099,I-0000441708,Integrante · 2016/1 - Actual,,,1
G-00000000002099,I-0000442712,Integrante · 2012/6 - Actual,,,1
G-00000000002099,I-0000446300,Integrante · 2005/1 - Actual,,,1
G-00000000002099,I-0000459372,Integrante · 2005/9 - 2012/6,,,0
G-00000000002099,I-0000494917,Integrante · 2014/2 - Actual,,,1
G-00000000002099,I-0000501816,Integrante · 2008/1 - 2010/1,,,0
G-00000000002099,I-0000536407,Integrante · 2003/3 - 2004/12,,,0
G-00000000002099,I-0000545880,Integrante · 2023/1 - Actual,,,1
G-00000000002099,I-0000547883,Integrante · 2001/2 - 2010/1,,,0
G-00000000002099,I-0000549851,Integrante · 2008/6 - 2012/6,,,0
G-00000000002099,I-0000550051,Integrante · 2003/4 - 2004/12,,,0
G-00000000002099,I-0000563978,Integrante · 2006/1 - Actual,,,1
G-00000000002099,I-0000599484,Integrante · 2021/9 - Actual,,,1
G-00000000002099,I-0000600474,Integrante · 2009/2 - 2009/12,,,0
G-00000000002099,I-0000613916,Integrante · 2007/6 - 2009/12,,,0
G-00000000002099,I-0000614971,Integrante · 2008/1 - 2010/6,,,0
G-00000000002099,I-0000666106,Integrante · 2016/1 - Actual,,,1
G-00000000002099,I-0000666475,Integrante · 2008/7 - 2014/1,,,0
G-00000000002099,I-0000688487,Integrante · 2022/2 - Actual,,,1
G-00000000002099,I-0000749028,Integrante · 2016/1 - Actual,,,1
G-00000000002099,I-0000774979,Integrante · 2006/2 - 2008/12,,,0
G-00000000002099,I-0000799157,Integrante · 2013/1 - Actual,,,1
G-00000000002099,I-0000955450,Integrante · 2021/7 - Actual,,,1
G-00000000002099,I-0000967130,Integrante · 2014/1 - Actual,,,1
G-00000000002099,I-0000971782,Integrante · 2022/1 - Actual,,,1
G-00000000002099,I-0000984264,Integrante · 2007/1 - 2014/1,,,0
G-00000000002099,I-0001202898,Integrante · 2017/1 - Actual,,,1
G-00000000002099,I-0001346156,Integrante · 2013/1 - Actual,,,1
G-00000000002099,I-0001400853,Integrante · 2018/2 - Actual,,,1
G-00000000002099,I-0001401057,Integrante · 2019/2 - Actual,,,1
G-00000000002099,I-0001401301,Integrante · 2013/2 - Actual,,,1
G-00000000002099,I-0001401309,Integrante · 2023/1 - Actual,,,1
G-00000000002099,I-0001401310,Integrante · 2018/1 - Actual,,,1
G-00000000002099,I-0001401320,Integrante · 2022/1 - Actual,,,1
G-00000000002099,I-0001401632,Integrante · 2014/7 - Actual,,,1
G-00000000002099,I-0001403090,Integrante · 2014/1 - Actual,,,1
G-00000000002099,I-0001404785,Integrante · 2023/9 - Actual,,,1
G-00000000002099,I-0001412870,Integrante · 2018/2 - Actual,,,1
G-00000000002099,I-0001420512,Integrante · 2017/1 - Actual,,,1
G-00000000002099,I-0001423842,Integrante · 2014/10 - Actual,,,1
G-00000000002099,I-0001426300,Integrante · 2013/1 - Actual,,,1
G-00000000002099,I-0001445220,Integrante · 2012/6 - Actual,,,1
G-00000000002099,I-0001450217,Integrante · 2022/1 - Actual,,,1
G-00000000002099,I-0001453688,Integrante · 2024/1 - Actual,,,1
G-00000000002099,I-0001490524,Integrante · 2014/1 - Actual,,,1
G-00000000002099,I-0001490904,Integrante · 2014/10 - Actual,,,1
G-00000000002099,I-0001506336,Integrante · 2016/1 - Actual,,,1
G-00000000002099,I-0001534611,Integrante · 2023/1 - Actual,,,1
G-00000000002099,I-0001554707,Integrante · 2016/1 - Actual,,,1
G-00000000002099,I-0001560153,Integrante · 2013/1 - Actual,,,1
G-00000000002099,I-0001579321,Integrante · 2019/1 - Actual,,,1
G-00000000002099,I-0001606848,Integrante · 2015/1 - Actual,,,1
G-00000000002099,I-0001613360,Integrante · 2014/1 - Actual,,,1
G-00000000002099,I-0001616492,Integrante · 2014/1 - Actual,,,1
G-00000000002099,I-0001718099,Integrante · 2019/7 - Actual,,,1
G-00000000002099,I-0001750960,Integrante · 2017/2 - Actual,,,1
G-00000000002099,I-0001751044,Integrante · 2017/2 - Actual,,,1
G-00000000002099,I-0001906965,Integrante · 2021/7 - Actual,,,1
G-00000000002099,I-0001911078,Integrante · 2021/7 - Actual,,,1
G-00000000002099,I-0001911094,Integrante · 2021/7 - Actual,,,1
G-00000000002099,I-0001911192,Integrante · 2021/7 - Actual,,,1
G-00000000002099,I-0001911319,Integrante · 2021/7 - Actual,,,1
G-00000000002099,I-0001911320,Integrante · 2021/7 - Actual,,,1
G-00000000002099,I-0001914500,Integrante · 2021/8 - Actual,,,1
G-00000000002099,I-0002026248,Integrante · 2023/2 - Actual,,,1
G-00000000002099,I-0002117790,Integrante · 2023/1 - Actual,,,1
G-00000000002099,I-0002158281,Integrante · 2024/1 - Actual,,,1
G-00000000002099,I-0002401514,Integrante · 2023/1 - Actual,,,1
