id,grupo_id,nombre,inicio,fin,objetivo,indicador,meta,actividad,activo
PL-00000000020734,G-00000000020734,Plan Estratégico,,,"Objetivo General
Realizar investigaciones interdisciplinarias en derecho, ciencias sociales y administración pública que contribuyan al entendimiento y solución de problemáticas sociales, políticas, económicas y culturales en Colombia, con impacto regional e internacional.
Objetivos Específicos
Fortalecer y consolidar las líneas de investigación prioritarias del grupo, orientadas a problemáticas actuales y relevantes para la sociedad.
Desarrollar procesos de investigación formativa mediante la participación activa de semilleros y jóvenes investigadores, fomentando su formación integral y científica.
Formular, ejecutar y gestionar proyectos de investigación con financiación nacional e internacional, priorizando aquellos que generen impacto social y académico.
Difundir resultados académicos en revistas indexadas, libros, congresos y medios de divulgación científica, optimizando la visibilidad y el aporte del grupo a la comunidad académica y sociedad en general.",,,"Plan de trabajo: Consolidación y fortalecimiento de líneas de investigación
Se consolidarán las líneas de investigación prioritarias, asegurando su relevancia y actualización constante conforme a los cambios sociales, políticos y tecnológicos. Se promoverá la interdisciplinariedad y la innovación metodológica para responder de manera efectiva a las problemáticas regionales, nacionales e internacionales.
Procesos de investigación formativa y desarrollo de talento
Se fortalecerán los procesos de formación investigativa mediante la integración activa de semilleros y jóvenes investigadores, promoviendo la asesoría y tutoría en trabajos de grado desde pregrado hasta doctorado. Esta formación se complementará con la categorización sistemática de los investigadores para garantizar niveles altos de calidad en la producción científica.
Producción, publicación y divulgación científica
El grupo formulará, presentará y ejecutará nuevos proyectos de investigación financiados nacional e internacionalmente. Publicará los resultados en revistas indexadas tanto nacionales como internacionales, además de continuar con la publicación de libros que sistematicen y difundan los hallazgos científicos para distintos públicos. La producción académica pasará a ser un eje central para visibilizar el trabajo del grupo.
Participación en redes, eventos y procesos académicos
Se mantendrá la participación activa en la Red de Grupos y Centros de Investigación Jurídica y en entidades relacionadas con las maestrías y doctorados. El grupo fomentará la participación en eventos científicos y académicos, incluyendo movilidad internacional, con el fin de fortalecer la proyección social y la apropiación del conocimiento.
Proyección social, extensión e internacionalización
La articulación con procesos de extensión universitaria, proyección social y estrategias de internacionalización será prioridad. Se promoverán alianzas con universidades y centros de investigación internacionales para la formulación y eje",1
PL-00000000001901,G-00000000001901,Plan Estratégico,,,"Contribuir en la formación investigativa de los estudiantes, egresados, docentes y sector productivo con el fin de propiciar un desarrollo permanente de la investigación de los programas de la Escuela de Ciencias agrícolas pecuarias y del medio ambiente de la Universidad nacional Abierta y a Distancia y del Programa de Microbiología de la Universidad Popular del cesar en la Región Caribe.
Formar personas integras en un ambiente abierto y voluntario, con el fin de contribuir al desarrollo social, tecnológico, económico y ambiental de la región Caribe y del país.
Fomentar un pensamiento critico para estimular el diseño de proyectos de investigación acordes con la realidad de nuestro entorno.
Aportar soluciones con una visión integral a los problemas de la región caribe y del país
Contribuir al desarrollo de las líneas de investigación propuestas por el grupo.
Incubar proyectos de investigación con viabilidad de desarrollo.",,,"Plan de trabajo: El grupo de investigación Zoobios, adscrito a la Escuela de Ciencias Agrícolas, Pecuarias y del Medio Ambiente (ECAPMA) en la Zona Caribe de la UNAD y del programa de Microbiología de la Universidad del Cesar, tiene como objetivo fortalecer la investigación en nutrición animal, biodiversidad, biotecnología, desarrollo rural, epidemiología y reproducción. Actualmente, cuenta con 21 investigadores y 7 semilleros vinculados, consolidando su impacto en la producción científica.
Dentro de su visión el grupo Zoobios busca incrementar su categoría en MinCiencias mediante la producción de artículos indexados, libros de investigación y ponencias en eventos científicos. Se impulsará la participación en convocatorias internas y externas para la obtención de recursos, así como la vinculación de estudiantes a macroproyectos que respondan a las necesidades territoriales.
El grupo también promoverá la formación investigativa a través de seminarios, prácticas de campo y movilidad académica nacional e internacional. Se fortalecerán alianzas con redes de investigación y empresas del sector agropecuario para el desarrollo de productos de innovación tecnológica.
Con estas estrategias, Zoobios reafirma su compromiso con la generación de conocimiento y la solución de problemáticas ambientales y productivas en la región Caribe, alineándose con los objetivos de la ECAPMA dela Universidad Nacional Abierta y a Distancia (UNAD) y de la Universidad del Cesar.",1
PL-00000000016636,G-00000000016636,Plan Estratégico,,,"OBJETIVOS
GENERALES
Conformar un grupo de acción interdisciplinaria que contribuya al intercambio, consolidación y aplicación del conocimiento, enfocado a la producción y transformación de productos agropecuarios
Fomentar la investigación en el programa de ingeniería agroindustrial para obtener resultados que contribuyan a la generación del conocimiento científico
Complementar la parte teórica con la práctica fomentando el uso de tecnologías actuales en la planeación, diseño y construcción de equipos Agroindustriales.
Identificar y crear líneas de investigación enmarcadas dentro del departamento de ingenierías y tecnológicas que estén acordes con las necesidades de la región.
Desarrollar y fortalecer la academia científica, técnica y tecnológica de la facultad de ingenierías y tecnológicas de la Seccional Aguachica.
ESPECIFICOS
Mejorar el nivel académico del programa de ingeniería agroindustrial con la inclusión de los docentes y estudiantes en el proceso investigativo.
Aprovechar al máximo los productos agropecuarios de la región para adicionarle valor agregado
Explorar mediante diferentes técnicas analíticas el potencial productivo de los productos agropecuarios
Identificar problemáticas regionales relacionadas con la producción agropecuaria
Formular proyectos de investigación aplicada que brinden soluciones a las necesidades regionales existentes en torno a la producción y transformación de productos agropecuarios.
Construir espacios de investigación para estudiantes de últimos semestres que puedan desarrollar su proyecto de grado en las diferentes líneas de investigación.",,,"Plan de trabajo: Estructuración y consolidación del Grupo interdisciplinario de investigación
Organizar talleres sobre investigación aplicada
Consecución de infraestructura de apoyo
Identificación del estado actual de la región en cuanto a las necesidades de las áreas y líneas de investigación.
Capacitación, participación y asistencia a eventos Agroindustriales
Publicación permanentes de resultados
Búsqueda de generación de soluciones en las necesidades encontradas en las áreas de investigación.
Realización de convenios con otras Instituciones de áreas afines.",1
PL-00000000024291,G-00000000024291,Plan Estratégico,,,"* Generar conocimiento científico de alta calidad que contribuya a la mejora de la salud pública, mediante la investigación interdisciplinaria, el desarrollo de nuevas estrategias de prevención, diagnóstico y tratamiento de enfermedades, y la promoción de políticas de salud basadas en la evidencia.
* Evaluar prácticas educativas innovadoras y basadas en la evidencia, con el fin de mejorar la calidad del aprendizaje y la enseñanza. A través de la investigación interdisciplinaria, buscamos influir en las políticas educativas y contribuir al desarrollo de un sistema educativo más equitativo y efectivo.
* Analizar los sistemas de administración en salud mediante investigaciones que identifiquen estrategias innovadoras y eficientes, para optimizar la gestión de recursos, mejorar la calidad de los servicios de salud y contribuir a la formulación de políticas que fortalezcan la sostenibilidad y equidad del sistema sanitario.",,,"Plan de trabajo: PLAN DE TRABAJO: Se realizarán actividades que lleven al desarrollo de las líneas de investigación con el fin de motivar al estudiante a tener ese espíritu investigativo, los integrantes del grupo se reunirán periódicamente para compartir e intercambiar ideas de trabajo, analizar la problemática de salud y educación, participar de capacitaciones, convocatorias, eventos, de esta manera fortalecemos el conocimiento.",1
PL-00000000024297,G-00000000024297,Plan Estratégico,,,"Analizar el estado del arte para la identificación de estrategias de enseñanza aprendizaje en el área de la literatura hispanohablante y de lengua inglesa.
Desarrollar conocimientos y estrategias innovadoras para la mejora la enseñanza y el aprendizaje de la literatura hispanohablante y de lengua inglesa.
Evaluar el aporte de las estrategias innovadoras en la enseñanza y el aprendizaje de la literatura hispanohablante y de lengua inglesa.",,,Plan de trabajo:,1
PL-00000000024259,G-00000000024259,Plan Estratégico,,,"Objetivo General
Desarrollar e implementar soluciones científicas y tecnológicas innovadoras que impulsen prácticas sostenibles en la producción agropecuaria, mejorando la eficiencia, conservando los recursos naturales y contribuyendo al bienestar socioeconómico de las comunidades rurales, alineado con los principios de sostenibilidad y los Objetivos de Desarrollo Sostenible (ODS).
Objetivos Específicos.
Fortalecer las competencias científicas, tecnológicas e innovadoras en la comunidad académica promoviendo el desarrollo de capacidades avanzadas en el campo agropecuario sostenible.
Fomentar una cultura de investigación y desarrollo alineada con las políticas nacionales e internacionales, facilitando alianzas estratégicas con entidades gubernamentales e industriales.
Implementar proyectos de investigación aplicada que optimicen el uso del agua y el suelo en la producción agropecuaria, mejorando la eficiencia y la productividad de los sistemas agrícolas y ganaderos.
Promover la colaboración interdisciplinaria entre investigadores, productores y comunidades, para generar soluciones integrales que aborden los desafíos del sector agropecuario en un contexto de sostenibilidad",,,"Plan de trabajo: El plan de trabajo se centra en alcanzar las metas establecidas por las líneas de investigación del grupo GIPSCA, las cuales actúan como ejes estratégicos para posicionarlo al año 2030, como un grupo de investigación líder en la generación de estudios de alto impacto. Su enfoque principal es el desarrollo de tecnologías innovadoras que promuevan una producción agropecuaria sostenible.
Estas estrategias están diseñadas para impulsar investigaciones en los sectores agrícola y pecuario, permitiendo que estudiantes y docentes contribuyan a la solución de problemas tanto regionales como nacionales en estos ámbitos. Los resultados obtenidos se difundirán a través de publicaciones y mediante la participación en seminarios, congresos, y otros medios, fortaleciendo así los vínculos con la comunidad científica, productores y asociaciones. Además, se fomentará la colaboración en investigaciones conjuntas con otros grupos, lo que dinamizará la presentación, evaluación y complementación de proyectos, generando y proyectando nuevas líneas de investigación.",1
PL-00000000018873,G-00000000018873,Plan Estratégico,,,"OBJETIVO GENERAL:
Fomentarla investigación aplicada a la educación y la salud como herramienta para contribuir en la calidad de vida del colectivo social y su entorno.
OBJETIVOS ESPECÍFICOS
- Fortalecer a la Universidad Popular del Cesar en el área de investigación relacionada con la salud pública y los procesos de enseñanza aprendizaje.
- Crear innovación y tecnología para el mejoramiento de los procesos en el área de salud y educación.
- Identificar factores de riesgos y factores protectores que contribuyan al mejoramiento de la calidad de vida de las personas, familia y su entorno.",,,"Plan de trabajo: Las actividades del grupo están planeadas para desarrollarse de manera semanal, quincenal y mensual donde cada uno de los integrantes investigadores y coinvestigadores, en carácter de docente o estudiante, tendrá la oportunidad de crecer a nivel personal, académico, intelectual y científico, direccionado a fortalecer el proceso de la investigación a nivel institucional, municipal, regional, nacional e internacional.",1
PL-00000000017356,G-00000000017356,Plan Estratégico,,,"Realizar investigaciones en el campo de la educación y epistemología de la física y de las Ciencias Naturales que aporten elementos teóricos, metodológicos y didácticos desde un enfoque sistémico y contextualizado.
Realizar investigaciones en el área de la educación matemática que aporten elementos teóricos, metodológicos y didácticos desde un enfoque sistémico y contextualizado.",,,"Plan de trabajo: El propósito del grupo ECINAMA es abordar la investigación educativa en el campo de la matemática, la física y las ciencias naturales, desde una perspectiva sistémica y/o contextualizada, la cual se materializa a través de tres (3) líneas de investigación:
1. Educación matemática
2. Historia y enseñanza de la física
3. Enseñanza de las ciencias Naturales.
Para tener una mirada holística de los procesos educativos en ciencias naturales y matemática, el Grupo ECINAMA se desarrollan tres (3) programas de investigación transversales: innovaciones tecnológicas en la enseñanza de la matemática, de la física y las ciencias naturales, formación investigativa de profesores de matemática, de física y de ciencias naturales y educación inclusiva en matemática, en física y en ciencias naturales; además de un (1) programa de investigación interlineas: modelización matemática de fenómenos físicos.",1
PL-00000000023954,G-00000000023954,Plan Estratégico,,,"General:
- Conformar un colectivo de investigadores interdisciplinarios que propendan por dar solución a las diferentes problemáticas del contexto local, regional, nacional, e internacional inherentes a la práctica de la educación física, la recreación y el deporte.
Específicos.
- Diseñar propuestas de investigación acordes a las necesidades de la región.
- Participar en eventos científicos que favorezcan la circulación del nuevo conocimiento y la socialización de los resultados de investigación.
- Fortalecer los procesos investigativos del programa integrando la investigación formativa, con la docencia, proyección social y extensión.
- Promover alianzas estratégicas en redes y con otros grupos de investigación para contribuir al fortalecimiento de la investigación y construcción de nuevo conocimiento.
- Participar en convocatorias internas para la financiación de proyectos de investigación y extensión.",,,"Plan de trabajo: El grupo de investigación se ha propuesto como plan el desarrollo de proyectos de investigación que estén relacionados con las verdaderas necesidades de la educación física, la recreación y el deporte, especialmente en el área de cobertura del programa, de ese modo se estará contribuyendo a la generación de nuevo conocimiento en dichas disciplinas. Por otro lado, la creación de semilleros de investigación serán un aporte fundamental a la investigación formativa de los estudiantes que deseen participar de esta iniciativa, como también realizar acompañamiento para el desarrollo de su trabajo de grado. El grupo contempla dentro de su plan la divulgación de resultados de investigación en eventos científicos y revistas categorizadas y de esa manera dar a conocer a la comunidad científica las posibles soluciones a las problemáticas inherentes a nuestra región. Por otro lado, consideramos que las alianzas interinstitucionales jugarán un papel fundamental en la consecución de nuestros objetivos y propósitos, por lo que se gestionará la participación del sector externo.",1
PL-00000000018949,G-00000000018949,Plan Estratégico,,,"General:
Construir conocimiento científico que conlleve a la transformación de los modelos socioeconómicos y estilos de vida sustentables en la región del Magdalena medio.
Objetivos específicos:
a. Fortalecer competencias científicas, tecnológicas e innovadoras en la comunidad académica upecista
b. Propender por una cultura de investigación y desarrollo dentro de las políticas nacionales con visión global que permita la alianza con entidades gubernamentales e industriales.
c. Identificar problemáticas y necesidades a nivel regional, afines con las líneas de investigación propuestas por el grupo.
d. Gestionar alianzas estratégicas en proyectos de desarrollo sostenible
e. Publicar resultados de los proyectos de investigación y extensión periódicamente en revistas indexadas.",,,"Plan de trabajo: El plan de trabajo está enfocado en el cumplimiento de las metas trazadas por las líneas de investigación del grupo GE&DAS y que se convierten en los ejes estratégicos para lograr ser a 2021 un grupo de investigación líder en la generación de investigaciones de alto impacto en el contexto ambiental, económico y agropecuario.
Con esas estrategias se busca desarrollar investigaciones en las distintas líneas de las áreas del conocimiento, que permitan a estudiantes y docenes contribuir en la solución de problemas tanto regionales como nacionales en este campo.
Los resultados obtenidos serán difundidos mediante publicaciones, participación en seminarios, congresos nacionales e internacionales entre otros, creando lazos investigativos con la comunidad científica y gremios asociados en este orden. Se busca además, desarrollar investigaciones conjuntas con otros grupos que dinamicen la presentación, evaluación y complementación de las investigaciones en este proceso, generando y proyectando nuevas investigaciones.
El grupo de investigación pecuaria contempla dentro de sus planes plantear una investigación dirigida y compartida con el productor, que permita el desarrollo de tecnologías relevantes y viables para los productores, basadas en un conocimiento completo del sistema real de fincas y evaluando la tecnología no solamente en términos de su desempeño técnico, sino también, de su identificación con las metas, necesidades y condiciones socioeconómicas del sistema real de finca, así como del productor como elemento central del proceso investigativo.
El proceso investigativo que se propone está orientado a generar una investigación dirigida y compartida con el productor, cuya actividad pecuaria constituye uno de los pilares fundamentales de su economía, en donde existe una población bovina y de especies menores significativa.",1
