id,titulo,anio,fecha,familia,tipologia,categoria,validacion,observacion,doi,url,fuente,activo
P-GR-F39C5CD58054,"Scientific Methods of Quantitative Research: Epistemological Foundations, Methodological Strategies, and Applications for the Study of Social Phenomena",2026,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-69B41AAAFE04,"Gestión de la innovación, madurez de los procesos y competitividad en las PYMES: un enfoque PLS-SEM en economías emergentes",2026,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.31637/epsir-2026-11,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-11648949F70E,"Gestión de la innovación, madurez de procesos y competitividad en pymes: un enfoque PLS-SEM en economías emergentes",2026,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.31637/epsir-2026-2967,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-93B465CD3ACE,Pensamiento sistémico y simulación microcontrolada en riego por goteo: revisión sistemática para el diseño de modelos educativos-tecnológicos,2025,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.54502/msuceva.v5n1a6,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-0BC18AD6E6A4,"Investigación, innovación y desarrollo tecnológico en el programa de Ingeniería de Sistemas de la Universidad Popular del Cesar: una mirada desde el sector empresarial",2025,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-153AC6C45730,Community smells in software development communities:systematic literature review,2025,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.25100/iyc.v27i2,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-F16BE26985BC,Discovering the Chimera of (Un)Happiness in Agile Software Development Communities: A Systematic Literature Review,2025,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.3390/app15105533,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-46F92D3B7529,Textual Production in the University Context: A Practical Tool for Academic Essay Writing,2024,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.52783/pst.1003,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-313BB63C0BDE,Contributions to the application of non-participant observation as a research technique.,2024,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.52783/pst.988,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-11DCE3B2E7C0,"When and How to Use Mixed-Method Research: Designs, Advantages, and Limits",2024,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.52783/lhep.2024.1366,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-99D1BBB097A2,Scope and Limits of the State of the Art: Methodological and Epistemic Reflections,2024,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.52783/lhep.2024.1577,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-4938F09823E9,"Cuándo y cómo utilizar la investigación de métodos mixtos: diseños, ventajas y límites",2024,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-E1797D3AF9A4,"When and How to Use Mixed-Method Research: Designs, Advantages, and Limits",2024,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.52783/crlsj.572,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-2F89FFBAC009,Instruments for Collecting Information in Quantitative Research,2024,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.52783/lhep.2024.1496,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-488E5E345A8F,"Instrumento para medir las percepciones de las comunidades de desarrollo de software respecto a la comunicación, coordinación y cooperación: Resultado de la validación mediante juicio de expertos",2024,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,10.17981/20.1.2024.10,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
P-GR-CD4D5352CBB2,Movilidad académica estudiantil. Experiencias de la Universidad de las Ciencias Informáticas en un programa regional (2021-2022),2024,,Producción bibliográfica,Publicado en revista especializada,,pendiente,,,https://scienti.minciencias.gov.co/gruplac/jsp/visualiza/visualizagr.jsp?nro=00000000002099,"GrupLAC, sección Artículos publicados, consultado 2026-09-24",1
